method,scenario,seed,throughput_mbps,embb_throughput_mbps,urllc_throughput_mbps,center_embb_throughput_mbps,edge_embb_throughput_mbps,min_embb_throughput_mbps,min_embb_satisfaction_ratio,mean_embb_satisfaction_ratio,latency_violation,rate_deficit_cost,rate_violation_fraction,rate_violation,drop_ratio,packet_deadline_miss_ratio,worst_urllc_deadline_miss_ratio,urllc_delay_p50_ms,urllc_delay_p95_ms,urllc_delay_p99_ms,jain_fairness,avg_prb_embb,avg_prb_urllc,avg_safety_reserved_prbs,safety_activation_fraction,safety_cap_hit_fraction,observed_urllc_packets,inference_us,avg_urllc_class_share,avg_embb_sla_weight,avg_reference_urllc_share,avg_reference_embb_weight,avg_delta_rho,avg_delta_beta,std_urllc_class_share,std_delta_rho,std_delta_beta,lambda_lat,lambda_rate,lambda_drop
PF,nominal_hetero,0,19.5664568,14.6770912,4.8893656,8.9999792,5.677112,1.4841448,1.2120990909090907,1.3870447744107743,0.251675009727478,0.0006474877591244876,0.01761666666666667,0.01761666666666667,0.0017056626436227481,0.25804597701149423,0.5739678899082569,1.0,117.0,257.0099999999984,0.8661394201499473,71.8153,34.1847,0.0,0.0,0.0,17400,13.8,,,,,,,,,,,,
PF,load_surge,0,22.7244096,17.7293552,4.995054400000001,10.743883199999999,6.985472000000001,2.1475032,1.446850606060606,1.6916897182940513,0.24869999289512634,0.0,0.0,0.0,0.0004876001233844256,0.2434321795016349,0.6283114797966283,1.0,208.0,484.0,0.8415392496230542,68.5121,37.4879,0.0,0.0,0.0,17738,13.8,,,,,,,,,,,,
PF,edge_fade,0,17.626759200000002,13.637109599999999,3.9896496,9.001370399999999,4.6357392,1.134264,1.0502444444444443,1.237512630751964,0.4115000069141388,0.0,0.0,0.0,0.0713077388756515,0.33886857921804325,0.8856576338400529,1.0,1895.0,3072.0,0.7978522148906183,70.6009,35.3991,0.0,0.0,0.0,16139,13.8,,,,,,,,,,,,
PF,bursty_urllc,0,21.514682399999998,14.8773248,6.6373576,8.9963976,5.8809272,1.6849312,1.2115766666666667,1.418038524691358,0.56045001745224,0.00045882383710704744,0.011049999999999999,0.011049999999999999,0.05521974943074129,0.6031064864043749,0.8898019384745048,80.0,691.0,874.0,0.9275327489602435,69.9374,36.0626,0.0,0.0,0.0,26332,13.9,,,,,,,,,,,,
PF,mixed_dynamic,0,21.405192800000002,16.0744352,5.3307576,10.4283224,5.6461128,1.3772968,1.2752748148148148,1.4729651778900112,0.4360249936580658,0.0017157257534563541,0.03815,0.03815,0.06608479992368961,0.42198564929887916,0.9301310043668122,2.0,1032.0,1192.0,0.8334556090076318,68.2605,37.7395,0.0,0.0,0.0,21323,14.1,,,,,,,,,,,,
PF,hotspot_unseen,0,19.8468848,14.889784800000001,4.9571000000000005,8.999384000000001,5.890400799999999,1.7086,1.2116315151515151,1.4199377216610551,0.3441999852657318,0.0,0.0,0.0,0.10277071092025038,0.3863093658795436,0.82703954399715,2.0,1154.0,1393.5600000000013,0.8734609785815844,70.1934,35.8066,0.0,0.0,0.0,18845,14.0,,,,,,,,,,,,
PF,tight_sla,0,19.4716272,14.667490400000002,4.8041368,8.9999448,5.6675455999999995,1.4698632,1.211972121212121,1.3852947794612795,0.26625001430511475,0.0,0.0,0.0,0.0006229627291855858,0.28678581892762967,0.5978260869565217,1.0,91.79999999999927,173.0,0.8617410728889685,71.4059,34.5941,0.0,0.0,0.0,17065,13.9,,,,,,,,,,,,
PF,nominal_hetero,1,19.429712799999997,14.571770399999998,4.8579424,8.9972336,5.574536799999999,1.4726784,1.212212727272727,1.374529707631874,0.3036249876022339,0.0005105643649585545,0.004783333333333333,0.004783333333333333,0.004152034067584835,0.29151994458234715,0.8016411997736276,1.0,369.79999999999563,827.7799999999988,0.8639896222894661,70.4393,35.5607,0.0,0.0,0.0,17323,13.9,,,,,,,,,,,,
PF,load_surge,1,21.9969152,17.1600408,4.8368744,10.7456624,6.4143784,1.6834312,1.4472581818181818,1.6039852957351293,0.29907500743865967,3.5493826544552576e-08,1.6666666666666664e-05,1.6666666666666664e-05,0.010306831761589929,0.2880915236609464,0.7876030707989764,1.0,476.0,796.0,0.8237614756392613,68.559,37.441,0.0,0.0,0.0,17307,13.8,,,,,,,,,,,,
PF,edge_fade,1,17.7947584,13.382436799999999,4.4123216,9.002742399999999,4.3796944,0.9065215999999999,0.8393718518518517,1.2001906285072954,0.3614499866962433,0.010798566974699497,0.11351666666666667,0.11351666666666667,0.062095046506431,0.2964631399525172,0.6570576540755467,1.0,892.0,1184.0,0.8095402611216789,69.991,36.009,0.0,0.0,0.0,16427,13.9,,,,,,,,,,,,
