method,seed,rollout,step,reward_mean,lat_cost,rate_cost,drop_cost,lambda_lat,lambda_rate,lambda_drop,rho_mean,rho_std,beta_mean,rho_ref_mean,beta_ref_mean,delta_rho_mean,delta_rho_std,delta_beta_mean,delta_beta_std,policy_log_std_mean,loss,steps_train_nominal,steps_train_load,steps_train_edge,steps_train_burst,steps_train_joint
ReferenceResidual-Unconstrained-PPO,0,0,4096,0.2263215035200119,0.0394287109375,0.0,0.0,0.0,0.0,0.0,0.41315189618417714,0.27491763183114937,1.1778316541079543,0.4164991008862158,1.1834417312309735,-0.0033472047020386662,0.04603965509503528,-0.005610077123019196,0.43219501490667617,-1.148080587387085,1.003646158427,0,0,0,4096,0
ReferenceResidual-Unconstrained-PPO,0,1,8192,0.19966459274291992,0.00079345703125,4.257731518464425e-07,0.0,0.0,0.0,0.0,0.3396886655335394,0.26553508171304097,1.156466341525237,0.34012100747949536,1.194042555694511,-0.000432341945955968,0.04438432735417907,-0.03757621416927409,0.43752487664473627,-1.1528377532958984,0.3968272399317357,3192,0,0,904,0
ReferenceResidual-Unconstrained-PPO,0,2,12288,0.19500717520713806,0.00531005859375,0.0,0.0,0.0,0.0,0.0,0.3990581243359165,0.29442546776783185,1.341222583105134,0.40036196166022997,1.3852099667621016,-0.0013038373243134326,0.04306777238554993,-0.04398738365696738,0.43562167149994246,-1.1554113626480103,0.5211153373587877,1808,0,2288,0,0
ReferenceResidual-Unconstrained-PPO,0,3,16384,0.17745694518089294,0.130126953125,0.0019611951429396868,0.017672646790742874,0.0,0.0,0.0,0.4597476590688327,0.3102176355772557,2.0077815816955025,0.4639957756830764,2.012199412475671,-0.004248116614243632,0.04226526592266445,-0.004417830780168086,0.4403953729837215,-1.1464121341705322,2.2208178915083407,0,0,2712,0,1384
ReferenceResidual-Unconstrained-PPO,0,4,20480,0.18193046748638153,0.42120361328125,0.0,0.11878959089517593,0.0,0.0,0.0,0.5819510239010914,0.2957844635728893,2.6284267724167,0.5961604218504979,2.5874308928181957,-0.01420939794940642,0.041041880126331066,0.04099587959850422,0.4458928125141056,-1.1435474157333374,6.0781859934329985,0,480,0,0,3616
ReferenceResidual-Unconstrained-PPO,0,5,24576,0.23982396721839905,0.00714111328125,0.0,0.0,0.0,0.0,0.0,0.29170878624052543,0.2569383965520215,1.0570099002468263,0.28566007993021325,1.1405111586749639,0.0060487063103122135,0.04274652186150811,-0.08350125842813774,0.4452851402879511,-1.133423924446106,0.8537970157340169,0,4096,0,0,0
ReferenceResidual-Unconstrained-PPO,0,6,28672,0.19476443529129028,0.01947021484375,0.0,0.0,0.0,0.0,0.0,0.4310380290393473,0.30225939593087753,1.3899608563494956,0.4314679607539081,1.4516088428456084,-0.00042993171456072866,0.043242888607623445,-0.06164798649611271,0.45441353093677206,-1.1321957111358643,1.2736415836960078,3672,424,0,0,0
ReferenceResidual-Unconstrained-PPO,0,7,32768,0.2176923155784607,0.00634765625,0.0,0.0,0.0,0.0,0.0,0.3140581541924172,0.244384688512711,1.0062558637919445,0.31240388929009105,1.099614983220151,0.0016542649023261616,0.04622954198252489,-0.09335911942820649,0.4516154459422961,-1.1263673305511475,0.8790575062856079,1328,0,0,2768,0
ReferenceResidual-Unconstrained-PPO,0,8,36864,0.21520064771175385,0.00018310546875,0.0,0.0,0.0,0.0,0.0,0.31776812927268616,0.24698188586481837,1.0702266548002124,0.3188369466161472,1.1519035540563003,-0.0010688173434610093,0.04591023547954882,-0.08167689925608812,0.44564049963822067,-1.1251564025878906,0.8604211557656527,0,0,0,2232,1864
ReferenceResidual-Unconstrained-PPO,0,9,40960,0.1769871711730957,0.38031005859375,0.006054268684238195,0.08477531373500824,0.0,0.0,0.0,0.6045098323731379,0.28754698001931117,2.6064971082436434,0.6158949640057713,2.6816818255400117,-0.011385131632633359,0.039141600958586834,-0.0751847172963677,0.4547597936070345,-1.124939203262329,3.365804281830788,0,0,960,0,3136
ReferenceResidual-Unconstrained-PPO,0,10,45056,0.18061381578445435,0.1072998046875,0.0,0.0,0.0,0.0,0.0,0.5215761577402469,0.3113700147867288,1.8056335650276596,0.5301226761135849,1.895722676673159,-0.00854651837333793,0.041798573394593946,-0.09008911164549954,0.44293578552344,-1.128714919090271,2.971351734548807,0,56,4040,0,0
ReferenceResidual-Unconstrained-PPO,0,11,49152,0.22827446460723877,0.02545166015625,0.0,0.007301354315131903,0.0,0.0,0.0,0.3325537650776423,0.2718432447816078,1.175279213449369,0.33502902048938676,1.2486860795829609,-0.002475255411744517,0.0443099385532672,-0.07340686613359204,0.4478691360987999,-1.1332091093063354,1.2817903503775596,0,4096,0,0,0
ReferenceResidual-Unconstrained-PPO,0,12,53248,0.20102259516716003,0.00238037109375,0.0,0.000211658189073205,0.0,0.0,0.0,0.2876252240450512,0.24469591819388112,1.0523281247596243,0.2915206648697215,1.1149338853179447,-0.003895440824670275,0.04410768875208471,-0.06260576055832043,0.44131843914733193,-1.124871015548706,0.9846122217830271,3248,848,0,0,0
ReferenceResidual-Unconstrained-PPO,0,13,57344,0.2083268165588379,0.02032470703125,0.0,0.0,0.0,0.0,0.0,0.32764137746191024,0.2683283394704497,1.1250761325447862,0.3338517099056604,1.1903024540937381,-0.006210332443750188,0.04613816378291331,-0.06522632154895174,0.44928683440039685,-1.118622899055481,1.5112064788118005,1752,0,0,0,2344
ReferenceResidual-Unconstrained-PPO,0,14,61440,0.19365914165973663,0.287109375,0.0,0.025225894525647163,0.0,0.0,0.0,0.5664853374434663,0.29182343397133037,2.141518129125582,0.5789931004336875,2.241931017182508,-0.012507762990221062,0.04056543979302927,-0.10041288805692572,0.45096956302599156,-1.114243984222412,5.935401068627835,0,0,0,1440,2656
ReferenceResidual-Unconstrained-PPO,0,15,65536,0.22692197561264038,0.0484619140625,0.00034884546766988933,0.0,0.0,0.0,0.0,0.47319873632636045,0.28377384117438,1.4839970614489566,0.4862606737491577,1.5649031466368717,-0.013061937422797276,0.046292228492197086,-0.08090608518791514,0.46177342225062196,-1.1114444732666016,2.0382255386561154,0,0,536,3560,0
